scheme_code,scheme_name,date,nav
119092,HDFC Money Market Fund - Growth Option - Direct Plan,01-01-2022,92.3611
119092,HDFC Money Market Fund - Growth Option - Direct Plan,02-01-2022,92.5414
119092,HDFC Money Market Fund - Growth Option - Direct Plan,03-01-2022,92.6355
119092,HDFC Money Market Fund - Growth Option - Direct Plan,04-01-2022,92.8182
119092,HDFC Money Market Fund - Growth Option - Direct Plan,05-01-2022,92.6618
119092,HDFC Money Market Fund - Growth Option - Direct Plan,06-01-2022,92.5975
119092,HDFC Money Market Fund - Growth Option - Direct Plan,07-01-2022,92.7424
119092,HDFC Money Market Fund - Growth Option - Direct Plan,08-01-2022,92.9232
119092,HDFC Money Market Fund - Growth Option - Direct Plan,09-01-2022,92.8281
119092,HDFC Money Market Fund - Growth Option - Direct Plan,10-01-2022,92.9634
119092,HDFC Money Market Fund - Growth Option - Direct Plan,11-01-2022,92.9255
119092,HDFC Money Market Fund - Growth Option - Direct Plan,12-01-2022,92.8711
119092,HDFC Money Market Fund - Growth Option - Direct Plan,13-01-2022,92.926
119092,HDFC Money Market Fund - Growth Option - Direct Plan,14-01-2022,92.7092
119092,HDFC Money Market Fund - Growth Option - Direct Plan,15-01-2022,92.5079
119092,HDFC Money Market Fund - Growth Option - Direct Plan,16-01-2022,92.303
119092,HDFC Money Market Fund - Growth Option - Direct Plan,17-01-2022,92.1889
119092,HDFC Money Market Fund - Growth Option - Direct Plan,18-01-2022,92.1833
119092,HDFC Money Market Fund - Growth Option - Direct Plan,19-01-2022,92.0549
119092,HDFC Money Market Fund - Growth Option - Direct Plan,20-01-2022,91.9634
119092,HDFC Money Market Fund - Growth Option - Direct Plan,21-01-2022,92.1746
119092,HDFC Money Market Fund - Growth Option - Direct Plan,22-01-2022,92.1819
119092,HDFC Money Market Fund - Growth Option - Direct Plan,23-01-2022,92.2881
119092,HDFC Money Market Fund - Growth Option - Direct Plan,24-01-2022,92.2098
119092,HDFC Money Market Fund - Growth Option - Direct Plan,25-01-2022,92.1373
119092,HDFC Money Market Fund - Growth Option - Direct Plan,26-01-2022,92.1133
119092,HDFC Money Market Fund - Growth Option - Direct Plan,27-01-2022,92.0377
119092,HDFC Money Market Fund - Growth Option - Direct Plan,28-01-2022,92.135
119092,HDFC Money Market Fund - Growth Option - Direct Plan,29-01-2022,92.213
119092,HDFC Money Market Fund - Growth Option - Direct Plan,30-01-2022,92.3022
119092,HDFC Money Market Fund - Growth Option - Direct Plan,31-01-2022,92.2013
119092,HDFC Money Market Fund - Growth Option - Direct Plan,01-02-2022,92.3807
119092,HDFC Money Market Fund - Growth Option - Direct Plan,02-02-2022,92.4493
119092,HDFC Money Market Fund - Growth Option - Direct Plan,03-02-2022,92.4523
119092,HDFC Money Market Fund - Growth Option - Direct Plan,04-02-2022,92.6276
119092,HDFC Money Market Fund - Growth Option - Direct Plan,05-02-2022,92.5098
119092,HDFC Money Market Fund - Growth Option - Direct Plan,06-02-2022,92.4222
119092,HDFC Money Market Fund - Growth Option - Direct Plan,07-02-2022,92.1458
119092,HDFC Money Market Fund - Growth Option - Direct Plan,08-02-2022,92.0492
119092,HDFC Money Market Fund - Growth Option - Direct Plan,09-02-2022,92.1077
119092,HDFC Money Market Fund - Growth Option - Direct Plan,10-02-2022,92.0865
119092,HDFC Money Market Fund - Growth Option - Direct Plan,11-02-2022,92.1152
119092,HDFC Money Market Fund - Growth Option - Direct Plan,12-02-2022,92.1699
119092,HDFC Money Market Fund - Growth Option - Direct Plan,13-02-2022,92.0423
119092,HDFC Money Market Fund - Growth Option - Direct Plan,14-02-2022,92.0077
119092,HDFC Money Market Fund - Growth Option - Direct Plan,15-02-2022,91.9106
