transaction_id,investor_id,scheme_code,transaction_date,transaction_type,amount,units,kyc_status,state
TXN20000,INV11405,120106,2025-11-08,SIP,21469.91,386.9371,Pending,Rajasthan
TXN20001,INV11029,118632,2022-07-09,SIP,11165.82,319.9264,Pending,Rajasthan
TXN20002,INV10015,120114,2022-09-25,Lumpsum,196060.6,7988.6554,Verified,Rajasthan
TXN20003,INV11810,120128,2025-12-16,SIP,14461.76,720.6145,Verified,Gujarat
TXN20004,INV10611,120127,2022-03-15,Lumpsum,76997.12,1289.1454,Verified,Bihar
TXN20005,INV11761,120101,2022-03-27,SIP,9751.64,103.7652,Verified,Uttar Pradesh
TXN20006,INV10164,120115,2023-03-07,SIP,6988.71,363.023,Verified,Rajasthan
TXN20007,INV12294,120119,2025-06-25,Lumpsum,35137.9,375.0471,Verified,Andhra Pradesh
TXN20008,INV10666,120104,2024-04-24,SIP,5304.66,56.9146,Verified,Maharashtra
TXN20009,INV11687,120108,2023-07-01,Redemption,39793.98,2017.07,Verified,Karnataka
TXN20010,INV10159,120123,2023-04-01,Redemption,41196.16,801.0564,Failed,Tamil Nadu
TXN20011,INV11251,120107,2023-04-02,Lumpsum,133706.47,2915.4126,Verified,Maharashtra
TXN20012,INV11142,119092,2023-07-26,SIP,16395.56,356.6496,Verified,West Bengal
TXN20013,INV12197,120114,2022-02-26,SIP,22048.92,657.9927,Verified,Delhi
TXN20014,INV12379,120109,2022-03-20,SIP,15317.71,372.5863,Verified,Delhi
TXN20015,INV11285,120120,2025-05-26,SIP,3775.5,41.5093,Verified,Kerala
TXN20016,INV10779,120109,2022-04-01,Lumpsum,90031.22,1585.2568,Verified,Andhra Pradesh
TXN20017,INV12206,120105,2024-01-16,SIP,2679.37,38.3966,Verified,Gujarat
TXN20018,INV11353,120132,2023-10-05,Redemption,42704.73,571.0877,Failed,Rajasthan
TXN20019,INV11231,120125,2023-09-26,SIP,10801.43,233.7161,Verified,Rajasthan
TXN20020,INV11212,120128,2022-09-18,Redemption,22181.42,234.3948,Verified,Tamil Nadu
TXN20021,INV10713,120132,2025-03-11,SIP,10745.8,126.3687,Verified,Uttar Pradesh
TXN20022,INV11245,120111,2023-03-07,SIP,19858.21,307.4048,Verified,Gujarat
TXN20023,INV11320,120122,2024-06-23,SIP,17215.05,307.3805,Verified,Telangana
TXN20024,INV10696,120841,2023-08-05,Redemption,33864.98,515.1862,Verified,Kerala
TXN20025,INV10383,120108,2025-10-09,SIP,6391.38,228.9037,Verified,Uttar Pradesh
TXN20026,INV10101,120503,2023-05-17,SIP,15670.58,197.9507,Failed,Telangana
TXN20027,INV11866,120119,2025-07-13,Lumpsum,42914.87,590.5292,Verified,Haryana
TXN20028,INV12025,120118,2023-05-15,SIP,16745.39,1594.9458,Pending,Karnataka
TXN20029,INV10437,120120,2023-03-25,SIP,20298.64,279.4722,Verified,Karnataka
TXN20030,INV11903,118632,2025-02-15,SIP,23019.28,1100.2284,Verified,Tamil Nadu
TXN20031,INV10547,120122,2025-09-29,SIP,24709.42,388.5697,Verified,Kerala
TXN20032,INV11813,120132,2024-10-30,SIP,20933.66,352.9624,Verified,Gujarat
TXN20033,INV10652,120123,2024-07-10,SIP,19042.64,222.4928,Verified,Uttar Pradesh
TXN20034,INV11136,120126,2024-09-19,SIP,6741.9,135.9568,Verified,Rajasthan
TXN20035,INV11171,120108,2023-07-11,SIP,8673.03,147.9693,Verified,West Bengal
TXN20036,INV10567,120102,2023-04-19,Lumpsum,140320.21,1907.1018,Verified,Gujarat
TXN20037,INV10264,120119,2024-04-14,SIP,14022.67,295.7141,Verified,West Bengal
TXN20038,INV10848,120119,2024-03-08,Lumpsum,155110.18,1630.2405,Verified,Madhya Pradesh
TXN20039,INV10081,120129,2024-02-19,SIP,1141.51,27.4017,Verified,Telangana
TXN20040,INV11598,120119,2025-01-07,Lumpsum,148253.64,1808.2329,Verified,Andhra Pradesh
TXN20041,INV10904,120124,2023-03-26,Lumpsum,89988.02,7134.9787,Pending,Uttar Pradesh
TXN20042,INV11377,120118,2022-12-05,SIP,12217.36,568.6063,Verified,Bihar
