scheme_code,scheme_name,date,nav
120841,quant Mid Cap Fund - Growth Option - Direct Plan,01-01-2022,71.65
120841,quant Mid Cap Fund - Growth Option - Direct Plan,02-01-2022,71.5948
120841,quant Mid Cap Fund - Growth Option - Direct Plan,03-01-2022,72.2231
120841,quant Mid Cap Fund - Growth Option - Direct Plan,04-01-2022,73.5222
120841,quant Mid Cap Fund - Growth Option - Direct Plan,05-01-2022,72.4439
120841,quant Mid Cap Fund - Growth Option - Direct Plan,06-01-2022,71.8763
120841,quant Mid Cap Fund - Growth Option - Direct Plan,07-01-2022,72.9622
120841,quant Mid Cap Fund - Growth Option - Direct Plan,08-01-2022,73.6862
120841,quant Mid Cap Fund - Growth Option - Direct Plan,09-01-2022,73.3675
120841,quant Mid Cap Fund - Growth Option - Direct Plan,10-01-2022,73.7701
120841,quant Mid Cap Fund - Growth Option - Direct Plan,11-01-2022,73.5583
120841,quant Mid Cap Fund - Growth Option - Direct Plan,12-01-2022,72.8563
120841,quant Mid Cap Fund - Growth Option - Direct Plan,13-01-2022,73.2314
120841,quant Mid Cap Fund - Growth Option - Direct Plan,14-01-2022,71.7519
120841,quant Mid Cap Fund - Growth Option - Direct Plan,15-01-2022,70.4301
120841,quant Mid Cap Fund - Growth Option - Direct Plan,16-01-2022,69.9175
120841,quant Mid Cap Fund - Growth Option - Direct Plan,17-01-2022,69.6089
120841,quant Mid Cap Fund - Growth Option - Direct Plan,18-01-2022,69.9926
120841,quant Mid Cap Fund - Growth Option - Direct Plan,19-01-2022,68.9845
120841,quant Mid Cap Fund - Growth Option - Direct Plan,20-01-2022,67.9262
120841,quant Mid Cap Fund - Growth Option - Direct Plan,21-01-2022,69.2714
120841,quant Mid Cap Fund - Growth Option - Direct Plan,22-01-2022,68.923
120841,quant Mid Cap Fund - Growth Option - Direct Plan,23-01-2022,69.2715
120841,quant Mid Cap Fund - Growth Option - Direct Plan,24-01-2022,68.236
120841,quant Mid Cap Fund - Growth Option - Direct Plan,25-01-2022,67.1637
120841,quant Mid Cap Fund - Growth Option - Direct Plan,26-01-2022,67.3248
