scheme_code,date,nav
118632,01-01-2022,230.8013
118632,02-01-2022,228.4005
118632,03-01-2022,230.368
118632,04-01-2022,234.3881
118632,05-01-2022,233.1574
118632,06-01-2022,231.9878
118632,07-01-2022,234.8362
118632,08-01-2022,235.8507
118632,09-01-2022,235.0324
118632,10-01-2022,234.7499
118632,11-01-2022,233.0028
118632,12-01-2022,233.1214
118632,13-01-2022,232.9455
118632,14-01-2022,229.9325
118632,15-01-2022,226.7216
118632,16-01-2022,224.3697
118632,17-01-2022,222.8107
118632,18-01-2022,223.3241
118632,19-01-2022,221.2446
118632,20-01-2022,218.6817
118632,21-01-2022,221.7581
118632,22-01-2022,221.7793
118632,23-01-2022,222.6779
118632,24-01-2022,220.1833
118632,25-01-2022,218.2198
118632,26-01-2022,218.1047
118632,27-01-2022,217.8379
118632,28-01-2022,219.0063
118632,29-01-2022,219.4069
118632,30-01-2022,219.7551
118632,31-01-2022,218.7525
118632,01-02-2022,222.4498
118632,02-02-2022,222.384
118632,03-02-2022,219.1691
118632,04-02-2022,220.7296
118632,05-02-2022,219.1787
118632,06-02-2022,219.1664
118632,07-02-2022,215.6968
118632,08-02-2022,213.7481
118632,09-02-2022,213.515
118632,10-02-2022,214.5789
118632,11-02-2022,214.2278
118632,12-02-2022,213.4698
118632,13-02-2022,212.073
118632,14-02-2022,208.7657
118632,15-02-2022,208.3369
118632,16-02-2022,206.9179
118632,17-02-2022,208.8795
118632,18-02-2022,209.1726
118632,19-02-2022,206.6992
118632,20-02-2022,208.0791
118632,21-02-2022,207.9091
118632,22-02-2022,206.865
118632,23-02-2022,207.8049
118632,24-02-2022,208.9059
118632,25-02-2022,211.7971
118632,26-02-2022,209.7581
118632,27-02-2022,209.5987
118632,28-02-2022,210.8528
118632,01-03-2022,212.2712
118632,02-03-2022,212.0354
118632,03-03-2022,212.1654
118632,04-03-2022,211.2147
118632,05-03-2022,208.7112
118632,06-03-2022,209.3627
118632,07-03-2022,211.4937
118632,08-03-2022,211.4796
118632,09-03-2022,213.3428
118632,10-03-2022,213.7455
118632,11-03-2022,211.3105
118632,12-03-2022,212.2566
118632,13-03-2022,216.3296
118632,14-03-2022,216.5487
118632,15-03-2022,219.8685
118632,16-03-2022,215.2348
118632,17-03-2022,217.0108
118632,18-03-2022,217.7662
118632,19-03-2022,217.4447
118632,20-03-2022,217.3989
118632,21-03-2022,213.1168
