scheme_code,scheme_name,date,nav
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,01-01-2022,230.8013
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,02-01-2022,228.4005
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,03-01-2022,230.368
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,04-01-2022,234.3881
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,05-01-2022,233.1574
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,06-01-2022,231.9878
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,07-01-2022,234.8362
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,08-01-2022,235.8507
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,09-01-2022,235.0324
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,10-01-2022,234.7499
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,11-01-2022,233.0028
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,12-01-2022,233.1214
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,13-01-2022,232.9455
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,14-01-2022,229.9325
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,15-01-2022,226.7216
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,16-01-2022,224.3697
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,17-01-2022,222.8107
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,18-01-2022,223.3241
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,19-01-2022,221.2446
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,20-01-2022,218.6817
