scheme_code,scheme_name,date,nav
125497,SBI Small Cap Fund - Direct Plan - Growth,01-01-2022,62.0007
125497,SBI Small Cap Fund - Direct Plan - Growth,02-01-2022,62.3307
125497,SBI Small Cap Fund - Direct Plan - Growth,03-01-2022,62.7829
125497,SBI Small Cap Fund - Direct Plan - Growth,04-01-2022,63.9381
125497,SBI Small Cap Fund - Direct Plan - Growth,05-01-2022,63.9798
125497,SBI Small Cap Fund - Direct Plan - Growth,06-01-2022,63.8695
125497,SBI Small Cap Fund - Direct Plan - Growth,07-01-2022,65.3864
125497,SBI Small Cap Fund - Direct Plan - Growth,08-01-2022,66.0813
125497,SBI Small Cap Fund - Direct Plan - Growth,09-01-2022,65.5004
125497,SBI Small Cap Fund - Direct Plan - Growth,10-01-2022,66.0432
125497,SBI Small Cap Fund - Direct Plan - Growth,11-01-2022,65.292
125497,SBI Small Cap Fund - Direct Plan - Growth,12-01-2022,64.9564
125497,SBI Small Cap Fund - Direct Plan - Growth,13-01-2022,65.131
125497,SBI Small Cap Fund - Direct Plan - Growth,14-01-2022,63.5558
125497,SBI Small Cap Fund - Direct Plan - Growth,15-01-2022,62.1884
125497,SBI Small Cap Fund - Direct Plan - Growth,16-01-2022,61.1774
125497,SBI Small Cap Fund - Direct Plan - Growth,17-01-2022,60.2581
125497,SBI Small Cap Fund - Direct Plan - Growth,18-01-2022,60.5106
125497,SBI Small Cap Fund - Direct Plan - Growth,19-01-2022,59.8922
125497,SBI Small Cap Fund - Direct Plan - Growth,20-01-2022,58.5602
125497,SBI Small Cap Fund - Direct Plan - Growth,21-01-2022,59.9623
125497,SBI Small Cap Fund - Direct Plan - Growth,22-01-2022,59.5354
125497,SBI Small Cap Fund - Direct Plan - Growth,23-01-2022,59.8686
125497,SBI Small Cap Fund - Direct Plan - Growth,24-01-2022,58.9637
125497,SBI Small Cap Fund - Direct Plan - Growth,25-01-2022,58.3821
125497,SBI Small Cap Fund - Direct Plan - Growth,26-01-2022,58.9747
125497,SBI Small Cap Fund - Direct Plan - Growth,27-01-2022,57.8001
125497,SBI Small Cap Fund - Direct Plan - Growth,28-01-2022,58.3239
125497,SBI Small Cap Fund - Direct Plan - Growth,29-01-2022,58.1893
125497,SBI Small Cap Fund - Direct Plan - Growth,30-01-2022,57.7856
125497,SBI Small Cap Fund - Direct Plan - Growth,31-01-2022,57.7648
125497,SBI Small Cap Fund - Direct Plan - Growth,01-02-2022,58.9794
125497,SBI Small Cap Fund - Direct Plan - Growth,02-02-2022,59.0511
125497,SBI Small Cap Fund - Direct Plan - Growth,03-02-2022,58.3707
125497,SBI Small Cap Fund - Direct Plan - Growth,04-02-2022,58.9068
125497,SBI Small Cap Fund - Direct Plan - Growth,05-02-2022,58.2743
125497,SBI Small Cap Fund - Direct Plan - Growth,06-02-2022,58.6485
125497,SBI Small Cap Fund - Direct Plan - Growth,07-02-2022,56.7456
