scheme_code,scheme_name,date,nav
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,01-01-2022,31.9827
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,02-01-2022,31.9093
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,03-01-2022,32.0165
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,04-01-2022,32.3875
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,05-01-2022,32.3503
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,06-01-2022,32.1687
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,07-01-2022,32.4293
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,08-01-2022,32.6503
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,09-01-2022,32.58
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,10-01-2022,32.8054
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,11-01-2022,32.817
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,12-01-2022,32.6952
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,13-01-2022,32.9079
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,14-01-2022,32.5051
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,15-01-2022,32.0823
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,16-01-2022,31.9247
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,17-01-2022,31.5722
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,18-01-2022,31.7357
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,19-01-2022,31.651
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,20-01-2022,31.2993
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,21-01-2022,31.577
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,22-01-2022,31.5359
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,23-01-2022,31.4875
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,24-01-2022,31.0884
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,25-01-2022,30.9656
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,26-01-2022,30.9662
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,27-01-2022,30.7126
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,28-01-2022,30.7987
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,29-01-2022,30.7669
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,30-01-2022,30.6894
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,31-01-2022,30.5802
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,01-02-2022,30.9856
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,02-02-2022,31.0158
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,03-02-2022,30.7663
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,04-02-2022,30.9327
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,05-02-2022,30.7235
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,06-02-2022,30.6938
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,07-02-2022,30.3851
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,08-02-2022,30.2124
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,09-02-2022,30.2054
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,10-02-2022,30.3583
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,11-02-2022,30.4292
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,12-02-2022,30.372
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,13-02-2022,30.3413
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,14-02-2022,30.0627
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,15-02-2022,29.8346
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,16-02-2022,29.7727
