scheme_code,scheme_name,date,nav
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,01-01-2022,200.6018
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,02-01-2022,200.9728
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,03-01-2022,203.4199
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,04-01-2022,206.7304
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,05-01-2022,206.2872
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,06-01-2022,205.8165
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,07-01-2022,207.5294
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,08-01-2022,209.545
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,09-01-2022,208.6422
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,10-01-2022,210.008
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,11-01-2022,208.583
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,12-01-2022,207.3675
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,13-01-2022,207.5886
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,14-01-2022,204.2936
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,15-01-2022,200.5719
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,16-01-2022,200.6968
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,17-01-2022,198.9362
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,18-01-2022,198.774
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,19-01-2022,196.902
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,20-01-2022,193.7602
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,21-01-2022,195.2664
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,22-01-2022,195.7524
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,23-01-2022,196.2789
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,24-01-2022,193.8207
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,25-01-2022,192.8608
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,26-01-2022,192.2556
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,27-01-2022,189.7799
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,28-01-2022,190.9456
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,29-01-2022,189.1971
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,30-01-2022,187.2002
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,31-01-2022,185.9469
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,01-02-2022,189.2457
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,02-02-2022,189.2815
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,03-02-2022,187.7064
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,04-02-2022,189.5708
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,05-02-2022,187.4214
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,06-02-2022,188.4634
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,07-02-2022,183.9495
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,08-02-2022,181.8049
