scheme_code,scheme_name,date,nav
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,01-01-2022,115.0867
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,02-01-2022,115.2356
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,03-01-2022,115.6543
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,04-01-2022,116.0451
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,05-01-2022,116.1125
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,06-01-2022,116.0689
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,07-01-2022,116.3398
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,08-01-2022,116.7065
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,09-01-2022,116.5278
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,10-01-2022,116.8471
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,11-01-2022,116.894
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,12-01-2022,116.8604
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,13-01-2022,117.1416
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,14-01-2022,116.943
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,15-01-2022,116.5093
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,16-01-2022,116.2865
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,17-01-2022,115.8318
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,18-01-2022,116.1762
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,19-01-2022,115.9129
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,20-01-2022,115.7107
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,21-01-2022,115.9876
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,22-01-2022,116.1195
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,23-01-2022,116.0629
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,24-01-2022,115.5873
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,25-01-2022,115.4399
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,26-01-2022,115.4136
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,27-01-2022,115.213
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,28-01-2022,115.3058
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,29-01-2022,115.2416
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,30-01-2022,115.1461
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,31-01-2022,114.9329
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,01-02-2022,115.3189
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,02-02-2022,115.5597
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,03-02-2022,115.3386
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,04-02-2022,115.3163
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,05-02-2022,114.9703
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,06-02-2022,115.0398
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,07-02-2022,114.7892
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,08-02-2022,114.5968
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,09-02-2022,114.5465
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,10-02-2022,115.0085
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,11-02-2022,115.0543
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,12-02-2022,115.1781
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,13-02-2022,114.9808
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,14-02-2022,114.358
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,15-02-2022,114.0331
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,16-02-2022,113.5608
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,17-02-2022,114.0596
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,18-02-2022,114.1741
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,19-02-2022,113.656
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,20-02-2022,113.7926
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,21-02-2022,113.7306
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,22-02-2022,113.6485
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,23-02-2022,113.9393
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,24-02-2022,114.1599
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,25-02-2022,114.2898
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,26-02-2022,114.1922
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,27-02-2022,114.2181
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,28-02-2022,114.3169
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,01-03-2022,114.807
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,02-03-2022,114.65
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,03-03-2022,114.5105
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,04-03-2022,114.3018
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,05-03-2022,113.9471
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,06-03-2022,114.2051
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,07-03-2022,114.4419
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,08-03-2022,114.387
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,09-03-2022,114.8514
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,10-03-2022,114.8998
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,11-03-2022,114.6613
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,12-03-2022,114.8903
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,13-03-2022,115.147
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,14-03-2022,115.0668
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,15-03-2022,115.5176
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,16-03-2022,115.0018
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,17-03-2022,115.3479
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,18-03-2022,115.291
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,19-03-2022,115.2959
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,20-03-2022,115.2725
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,21-03-2022,114.7321
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,22-03-2022,114.8256
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,23-03-2022,114.8564
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,24-03-2022,115.2513
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,25-03-2022,115.1526
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,26-03-2022,114.843
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,27-03-2022,114.8417
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,28-03-2022,115.1339
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,29-03-2022,114.9926
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,30-03-2022,114.9054
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,31-03-2022,114.948
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,01-04-2022,115.1056
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,02-04-2022,115.1805
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,03-04-2022,114.9787
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,04-04-2022,114.9498
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,05-04-2022,114.87
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,06-04-2022,114.6145
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,07-04-2022,114.5196
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,08-04-2022,114.7794
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,09-04-2022,114.8491
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,10-04-2022,114.9572
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,11-04-2022,114.7258
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,12-04-2022,114.6318
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,13-04-2022,114.4107
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,14-04-2022,114.1626
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,15-04-2022,114.3137
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,16-04-2022,114.5768
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,17-04-2022,114.9656
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,18-04-2022,114.6917
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,19-04-2022,114.7373
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,20-04-2022,114.6946
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,21-04-2022,114.2142
